id,cod_clexp
l10n_cl_fe.CL11201,PAYS
l10n_cl_fe.CL05602,ALGA
l10n_cl_fe.CL01107,AHOS
l10n_cl_fe.CL10202,ANCU
l10n_cl_fe.CL04103,ANDA
l10n_cl_fe.CL09201,ANGO
l10n_cl_fe.CL02101,ANTO
l10n_cl_fe.CL08202,ARAU
l10n_cl_fe.CL15101,ARIC
l10n_cl_fe.CL13402,BUIN
l10n_cl_fe.CL08402,BULN
l10n_cl_fe.CL08303,CABR
l10n_cl_fe.CL02201,CALA
l10n_cl_fe.CL10102,CALB
l10n_cl_fe.CL03102,CALD
l10n_cl_fe.CL05502,CTAN
l10n_cl_fe.CL13403,CTAN
l10n_cl_fe.CL09102,CARA
l10n_cl_fe.CL05603,CART
l10n_cl_fe.CL05102,CASA
l10n_cl_fe.CL10201,CAST
l10n_cl_fe.CL07201,CAUQ
l10n_cl_fe.CL08203,CANE
l10n_cl_fe.CL13102,LOSC
l10n_cl_fe.CL13103,CNAV
l10n_cl_fe.CL10401,CHAI
l10n_cl_fe.CL03201,CHAN
l10n_cl_fe.CL08103,CHIG
l10n_cl_fe.CL11401,CHCH
l10n_cl_fe.CL08401,CHVJ
l10n_cl_fe.CL08406,CHVJ
l10n_cl_fe.CL06303,CHIM
l10n_cl_fe.CL10203,CHON
l10n_cl_fe.CL06302,CHEP
l10n_cl_fe.CL11202,PCIS
l10n_cl_fe.CL11301,COCH
l10n_cl_fe.CL06102,CODE
l10n_cl_fe.CL08404,COEL
l10n_cl_fe.CL08405,COIC
l10n_cl_fe.CL06103,COIN
l10n_cl_fe.CL07402,COLB
l10n_cl_fe.CL13301,COLI
l10n_cl_fe.CL09202,COLL
l10n_cl_fe.CL06104,COLT
l10n_cl_fe.CL04302,COMB
l10n_cl_fe.CL08101,CONC
l10n_cl_fe.CL13104,CCHA
l10n_cl_fe.CL05103,CCON
l10n_cl_fe.CL07102,CONS
l10n_cl_fe.CL03101,COPI
l10n_cl_fe.CL04102,COQU
l10n_cl_fe.CL08102,CORO
l10n_cl_fe.CL09203,CURC
l10n_cl_fe.CL13503,CRCV
l10n_cl_fe.CL08205,CURA
l10n_cl_fe.CL07301,CURI
l10n_cl_fe.CL10205,DALC
l10n_cl_fe.CL03202,DIEG
l10n_cl_fe.CL06105,DONI
l10n_cl_fe.CL13105,ELBO
l10n_cl_fe.CL08407,ECAR
l10n_cl_fe.CL13602,ELMO
l10n_cl_fe.CL05604,QSCO
l10n_cl_fe.CL05605,TABO
l10n_cl_fe.CL13106,ECEN
l10n_cl_fe.CL08104,LAFL
l10n_cl_fe.CL09105,FRER
l10n_cl_fe.CL03303,FREI
l10n_cl_fe.CL10104,FRES
l10n_cl_fe.CL10105,FRUT
l10n_cl_fe.CL14202,FUTR
l10n_cl_fe.CL09107,GORB
l10n_cl_fe.CL06106,GRAN
l10n_cl_fe.CL05503,HIJU
l10n_cl_fe.CL10403,HORP
l10n_cl_fe.CL07302,HUAL
l10n_cl_fe.CL08112,HPEN
l10n_cl_fe.CL08105,HAQI
l10n_cl_fe.CL03304,HUAS
l10n_cl_fe.CL13107,HUEC
l10n_cl_fe.CL04201,ILLA
l10n_cl_fe.CL13108,INDE
l10n_cl_fe.CL01101,IQUI
l10n_cl_fe.CL13603,IMAI
l10n_cl_fe.CL13109,LACI
l10n_cl_fe.CL05504,LACR
l10n_cl_fe.CL13110,LAFL
l10n_cl_fe.CL13111,LAGR
l10n_cl_fe.CL05401,LALI
l10n_cl_fe.CL13112,LAPI
l10n_cl_fe.CL13113,LARE
l10n_cl_fe.CL04101,LASE
l10n_cl_fe.CL14201,LAUN
l10n_cl_fe.CL14203,LRAN
l10n_cl_fe.CL08304,LAJA
l10n_cl_fe.CL13302,LAMP
l10n_cl_fe.CL14103,LANC
l10n_cl_fe.CL06107,LCAB
l10n_cl_fe.CL13114,LCON
l10n_cl_fe.CL09108,LAUT
l10n_cl_fe.CL08201,LEBU
l10n_cl_fe.CL05505,LIMA
l10n_cl_fe.CL07401,LINA
l10n_cl_fe.CL06203,LCHE
l10n_cl_fe.CL10107,LLAN
l10n_cl_fe.CL05703,LLAY
l10n_cl_fe.CL13115,LOBA
l10n_cl_fe.CL13116,LOES
l10n_cl_fe.CL13117,LOPR
l10n_cl_fe.CL06304,LOLO
l10n_cl_fe.CL09109,LONC
l10n_cl_fe.CL07403,LONG
l10n_cl_fe.CL08206,ALAM
l10n_cl_fe.CL05301,LAND
l10n_cl_fe.CL08301,LANG
l10n_cl_fe.CL14104,LLAG
l10n_cl_fe.CL10106,LMUE
l10n_cl_fe.CL04203,LVIL
l10n_cl_fe.CL08106,LOTA
l10n_cl_fe.CL06108,MACH
l10n_cl_fe.CL13118,MACU
l10n_cl_fe.CL13119,MIPU
l10n_cl_fe.CL06109,MALO
l10n_cl_fe.CL06204,MARC
l10n_cl_fe.CL14106,MRQN
l10n_cl_fe.CL02302,MARI
l10n_cl_fe.CL10108,MAUL
l10n_cl_fe.CL02102,MEJI
l10n_cl_fe.CL13501,MELI
l10n_cl_fe.CL07304,MOLI
l10n_cl_fe.CL04303,MOPA
l10n_cl_fe.CL06110,SFRA
l10n_cl_fe.CL08305,MULC
l10n_cl_fe.CL08306,NACI
l10n_cl_fe.CL06305,NANC
l10n_cl_fe.CL12401,PNAT
l10n_cl_fe.CL08307,NEGR
l10n_cl_fe.CL05506,NOGA
l10n_cl_fe.CL09111,NVAI
l10n_cl_fe.CL06111,OLIV
l10n_cl_fe.CL05507,OLMU
l10n_cl_fe.CL10301,OSOR
l10n_cl_fe.CL04301,OVAL
l10n_cl_fe.CL13604,PHUR
l10n_cl_fe.CL09112,PLCA
l10n_cl_fe.CL14107,PAIL
l10n_cl_fe.CL13404,PAIN
l10n_cl_fe.CL06306,PALM
l10n_cl_fe.CL14108,PANG
l10n_cl_fe.CL07404,PARR
l10n_cl_fe.CL13121,PEDR
l10n_cl_fe.CL08410,PEMU
l10n_cl_fe.CL08107,PENC
l10n_cl_fe.CL06307,PERA
l10n_cl_fe.CL06112,PEUM
l10n_cl_fe.CL13605,PENA
l10n_cl_fe.CL13122,PLOL
l10n_cl_fe.CL01405,CHEP
l10n_cl_fe.CL06113,PICD
l10n_cl_fe.CL06201,PICH
l10n_cl_fe.CL08411,PINT
l10n_cl_fe.CL13202,PIRQ
l10n_cl_fe.CL09114,PITR
l10n_cl_fe.CL12301,PORV
l10n_cl_fe.CL01401,POZO
l10n_cl_fe.CL13123,PROV
l10n_cl_fe.CL05105,PUCH
l10n_cl_fe.CL09115,PUCO
l10n_cl_fe.CL13124,PUDA
l10n_cl_fe.CL13201,PALT
l10n_cl_fe.CL10101,PMON
l10n_cl_fe.CL10302,POCT
l10n_cl_fe.CL10109,PVAR
l10n_cl_fe.CL04304,PUNI
l10n_cl_fe.CL12101,PUNT
l10n_cl_fe.CL10303,PURR
l10n_cl_fe.CL09208,PURE
l10n_cl_fe.CL10304,PUYG
l10n_cl_fe.CL10208,QUEL
l10n_cl_fe.CL10209,QUEM
l10n_cl_fe.CL13125,QILI
l10n_cl_fe.CL05501,QLTA
l10n_cl_fe.CL08413,QULL
l10n_cl_fe.CL05106,QUIL
l10n_cl_fe.CL10210,ACHA
l10n_cl_fe.CL13126,QNOR
l10n_cl_fe.CL06114,QTIL
l10n_cl_fe.CL05107,QUIN
l10n_cl_fe.CL08414,QUIR
l10n_cl_fe.CL06101,RANC
l10n_cl_fe.CL07305,ARAU
l10n_cl_fe.CL13127,RECO
l10n_cl_fe.CL09209,RNCO
l10n_cl_fe.CL13128,RENC
l10n_cl_fe.CL06115,RENG
l10n_cl_fe.CL06116,REQU
l10n_cl_fe.CL07306,ROME
l10n_cl_fe.CL14204,RIOB
l10n_cl_fe.CL10305,RNEG
l10n_cl_fe.CL04204,SALA
l10n_cl_fe.CL05601,SANT
l10n_cl_fe.CL13401,SBER
l10n_cl_fe.CL08416,SCAR
l10n_cl_fe.CL07109,SCLE
l10n_cl_fe.CL05701,SFEL
l10n_cl_fe.CL06301,SFER
l10n_cl_fe.CL08418,SIGN
l10n_cl_fe.CL07406,SJAV
l10n_cl_fe.CL13129,SJOA
l10n_cl_fe.CL13130,SMIG
l10n_cl_fe.CL10307,SPAB
l10n_cl_fe.CL13505,SPED
l10n_cl_fe.CL08108,SPED
l10n_cl_fe.CL02203,SPAT
l10n_cl_fe.CL13131,SRAM
l10n_cl_fe.CL08310,SANR
l10n_cl_fe.CL06117,SVIC
l10n_cl_fe.CL08311,SBAR
l10n_cl_fe.CL06310,SCRU
l10n_cl_fe.CL05706,SMAR
l10n_cl_fe.CL13101,STGO
l10n_cl_fe.CL05606,SDGO
l10n_cl_fe.CL02103,SGOR
l10n_cl_fe.CL13601,TALA
l10n_cl_fe.CL07101,THNO
l10n_cl_fe.CL08110,THNO
l10n_cl_fe.CL02104,TALT
l10n_cl_fe.CL09101,TEMU
l10n_cl_fe.CL07308,TENO
l10n_cl_fe.CL03103,TAMA
l10n_cl_fe.CL02301,TOCO
l10n_cl_fe.CL08111,TOME
l10n_cl_fe.CL09210,TRAI
l10n_cl_fe.CL08312,TUCA
l10n_cl_fe.CL14101,VALD
l10n_cl_fe.CL03301,VALL
l10n_cl_fe.CL05101,VALP
l10n_cl_fe.CL09211,VICT
l10n_cl_fe.CL04106,VICU
l10n_cl_fe.CL07407,VALG
l10n_cl_fe.CL05108,VALE
l10n_cl_fe.CL09120,VILL
l10n_cl_fe.CL13132,VITA
l10n_cl_fe.CL05109,VINA
l10n_cl_fe.CL08313,YUMB
l10n_cl_fe.CL08421,YUNG
l10n_cl_fe.CL13120,NUNO
